# Temperature Energy Magnetization SpecificHeat Susceptibility
1.500000 -1.950949 0.986379 0.204217 0.028740
1.600000 -1.929011 0.979777 0.260193 0.043526
1.700000 -1.898340 0.970046 0.315531 0.064841
1.800000 -1.859169 0.957046 0.430453 0.102699
1.900000 -1.809491 0.938173 0.607937 0.210541
1.969000 -1.768389 0.921823 0.668197 0.281222
1.989000 -1.755358 0.916079 0.705865 0.335242
2.009000 -1.738402 0.908022 0.728781 0.402020
2.029000 -1.724656 0.900051 0.807205 0.561563
2.049000 -1.706309 0.892091 0.864117 0.587047
2.069000 -1.691769 0.886554 0.857410 0.580555
2.089000 -1.671289 0.872422 1.027608 0.987941
2.109000 -1.660773 0.869669 0.930411 0.800172
2.129000 -1.631180 0.846840 1.086555 1.833973
2.149000 -1.612282 0.837983 1.145884 1.701535
2.169000 -1.591002 0.823963 1.173548 2.047286
2.189000 -1.561144 0.792319 1.418603 4.173392
2.209000 -1.534209 0.776112 1.355823 3.589398
2.229000 -1.508860 0.756636 1.428805 4.043248
2.249000 -1.476458 0.720472 1.589933 7.408840
2.269000 -1.437618 0.670124 1.780270 11.599684
2.289000 -1.398496 0.613982 1.835920 14.516899
2.309000 -1.354989 0.555317 1.953129 15.030543
2.329000 -1.330369 0.517336 1.780793 17.796503
2.349000 -1.303271 0.490440 1.698317 16.123878
2.369000 -1.263420 0.409339 1.622809 19.478207
2.389000 -1.224129 0.339970 1.266459 14.167987
2.409000 -1.201998 0.308959 1.209729 13.632544
2.429000 -1.176569 0.281490 1.172244 12.812634
2.449000 -1.165207 0.284023 1.122505 11.893706
2.469000 -1.134558 0.229054 0.970442 9.063133
2.489000 -1.121518 0.230011 0.925591 8.806430
2.509000 -1.096760 0.196612 0.887346 7.126388
2.529000 -1.085822 0.185450 0.807869 6.281010
2.549000 -1.066747 0.192927 0.831566 6.690327
2.669000 -0.985064 0.145450 0.617455 3.778823
2.769000 -0.924413 0.119058 0.540600 2.380378
2.869000 -0.874476 0.100277 0.461360 1.792592
2.969000 -0.827456 0.093013 0.418206 1.577118
3.069000 -0.789762 0.084023 0.374199 1.265525
3.169000 -0.754773 0.081299 0.313432 0.996013
3.269000 -0.723700 0.073282 0.301459 0.853905
3.369000 -0.692880 0.071217 0.277192 0.759168
3.469000 -0.667280 0.066502 0.257594 0.599424
